Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
commons-validator,org.apache.commons.validator.example,ValidateExample,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,CreditCardValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INSTANCE; PREFIX; INSTANCE; PREFIX; INSTANCE; PREFIX; INSTANCE; PREFIX; NONE; AMEX; VISA; MASTERCARD; DISCOVER; cardTypes
commons-validator,org.apache.commons.validator,CreditCardValidator.Amex,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE; PREFIX
commons-validator,org.apache.commons.validator,CreditCardValidator.Amex,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,CreditCardValidator.CreditCardType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,CreditCardValidator.Discover,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE; PREFIX
commons-validator,org.apache.commons.validator,CreditCardValidator.Discover,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,CreditCardValidator.Mastercard,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE; PREFIX
commons-validator,org.apache.commons.validator,CreditCardValidator.Mastercard,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,CreditCardValidator.Visa,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE; PREFIX
commons-validator,org.apache.commons.validator,CreditCardValidator.Visa,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,DependentValidatorContext,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FormSet; Form; Field; DependentValidatorContext; ValidatorAction; ValidatorResults; ValidatorResult; Validator; ValidatorResources
commons-validator,org.apache.commons.validator,Field,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; DEFAULT_ARG; TOKEN_INDEXED; TOKEN_START; TOKEN_END; TOKEN_VAR; property; indexedProperty; indexedListProperty; key; depends; page; clientValidation; fieldOrder; dependencyList; hVars; hMsgs; args
commons-validator,org.apache.commons.validator,Field,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
commons-validator,org.apache.commons.validator,FormSetFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,GenericTypeValidator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CodeValidator; GenericValidator; UrlValidator; InetAddressValidator; CreditCardValidator; GenericTypeValidator; EmailValidator
commons-validator,org.apache.commons.validator,GenericValidator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
commons-validator,org.apache.commons.validator,UrlValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ALLOW_ALL_SCHEMES; ALLOW_2_SLASHES; NO_FRAGMENTS; ALPHA_CHARS; SPECIAL_CHARS; VALID_CHARS; AUTHORITY_CHARS_REGEX; ATOM; URL_REGEX; URL_PATTERN; PARSE_URL_SCHEME; PARSE_URL_AUTHORITY; PARSE_URL_PATH; PARSE_URL_QUERY; PARSE_URL_FRAGMENT; SCHEME_PATTERN; AUTHORITY_REGEX; AUTHORITY_PATTERN; PARSE_AUTHORITY_HOST_IP; PARSE_AUTHORITY_PORT; PARSE_AUTHORITY_EXTRA; PATH_PATTERN; QUERY_PATTERN; LEGAL_ASCII_PATTERN; DOMAIN_PATTERN; PORT_PATTERN; ATOM_PATTERN; ALPHA_PATTERN; options; allowedSchemes; defaultSchemes
commons-validator,org.apache.commons.validator,Validator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; BEAN_PARAM; VALIDATOR_ACTION_PARAM; VALIDATOR_RESULTS_PARAM; FORM_PARAM; FIELD_PARAM; VALIDATOR_PARAM; LOCALE_PARAM; resources; formName; fieldName; parameters; page; classLoader; useContextClassLoader; onlyReturnErrors
commons-validator,org.apache.commons.validator,ValidatorAction,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
commons-validator,org.apache.commons.validator,ValidatorResult.ResultStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; valid; result
commons-validator,org.apache.commons.validator,ValidatorResult.ResultStatus,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,Var,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; JSTYPE_INT; JSTYPE_STRING; JSTYPE_REGEXP; name; value; jsType; resource; bundle
commons-validator,org.apache.commons.validator,AbstractCommonTest,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AbstractNumberTest; DateTest; EmailTest; EntityImportTest; ExceptionTest; GenericTypeValidatorTest; LocaleTest; MultipleTest; ParameterTest; RequiredIfTest; RequiredNameTest; ValidatorResultsTest; VarTest
commons-validator,org.apache.commons.validator,AbstractNumberTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,ByteTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberTest
commons-validator,org.apache.commons.validator,CustomCreditCardTypeTest.DinersClub,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: PREFIX
commons-validator,org.apache.commons.validator,CustomCreditCardTypeTest.DinersClub,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,DateTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,DoubleTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberTest
commons-validator,org.apache.commons.validator,EmailTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,EntityImportTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,ExceptionTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,FieldTest,Feature Envy,The tool detected a instance of this smell because testDefaultPositionImplied is more interested in members of the type: Field
commons-validator,org.apache.commons.validator,FieldTest,Feature Envy,The tool detected a instance of this smell because testDefaultUsingPositions is more interested in members of the type: Field
commons-validator,org.apache.commons.validator,FieldTest,Feature Envy,The tool detected a instance of this smell because testOverridePositionImplied is more interested in members of the type: Field
commons-validator,org.apache.commons.validator,FloatTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberTest
commons-validator,org.apache.commons.validator,GenericTypeValidatorImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,GenericValidatorImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,GenericValidatorImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: FIELD_TEST_NULL; FIELD_TEST_NOTNULL; FIELD_TEST_EQUAL
commons-validator,org.apache.commons.validator,IntegerTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberTest
commons-validator,org.apache.commons.validator,LocaleTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,LongTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberTest
commons-validator,org.apache.commons.validator,MultipleTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,ParameterTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,ParameterValidatorImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,RequiredIfTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,RequiredNameTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,ResultPair,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: item; valid
commons-validator,org.apache.commons.validator,ShortTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberTest
commons-validator,org.apache.commons.validator,ValidatorResultsTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator,ValidatorTest.TestBean,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: letter; date
commons-validator,org.apache.commons.validator,ValidatorTest.TestBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator,VarTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCommonTest
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidator,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: processParsedValue
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; STANDARD_FORMAT; CURRENCY_FORMAT; PERCENT_FORMAT; allowFractions; formatType
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidator,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: processParsedValue
commons-validator,org.apache.commons.validator.routines,CalendarValidator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCalendarValidator
commons-validator,org.apache.commons.validator.routines,CodeValidator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CodeValidator; GenericValidator; UrlValidator; InetAddressValidator; CreditCardValidator; GenericTypeValidator; EmailValidator
commons-validator,org.apache.commons.validator.routines,CreditCardValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: low; high; minLen; maxLen; lengths; serialVersionUID; MIN_CC_LENGTH; MAX_CC_LENGTH; NONE; AMEX; VISA; MASTERCARD; DISCOVER; DINERS; VPAY; MASTERCARD_PRE_OCT2016; LUHN_VALIDATOR; AMEX_VALIDATOR; DINERS_VALIDATOR; DISCOVER_REGEX; DISCOVER_VALIDATOR; MASTERCARD_REGEX; MASTERCARD_VALIDATOR; MASTERCARD_VALIDATOR_PRE_OCT2016; VISA_VALIDATOR; VPAY_VALIDATOR; serialVersionUID; ccr; cardTypes
commons-validator,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: low; high; minLen; maxLen; lengths
commons-validator,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: low; high; minLen; maxLen; lengths
commons-validator,org.apache.commons.validator.routines,DateValidator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCalendarValidator
commons-validator,org.apache.commons.validator.routines,DomainValidator.ArrayType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-validator,org.apache.commons.validator.routines,DomainValidator.ArrayType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: IDN_TOASCII_PRESERVES_TRAILING_DOTS
commons-validator,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator.routines,DomainValidator.Item,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: type; values
commons-validator,org.apache.commons.validator.routines,DomainValidator.Item,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
